WEEKDAY_APPR_PROCESS_START_SUNDAY_y,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,CODE_REJECT_REASON_HC,BUREAU_DAYS_CREDIT_ENDDATE_MIN,AMT_GOODS_PRICE,TOTALAREA_MODE,NAME_SELLER_INDUSTRY_XNA,PREVAPP_CNT_PAYMENT_MEAN,BUREAU_DAYS_CREDIT_MIN,PREVAPP_DAYS_FIRST_DUE_MEAN,SK_ID_CURR,NAME_YIELD_GROUP_middle,PREVAPP_AMT_APPLICATION_MEAN,BUREAU_DAYS_CREDIT_UPDATE_MEAN,OBS_60_CNT_SOCIAL_CIRCLE,NAME_CONTRACT_STATUS_Canceled_x,PREVAPP_AMT_ANNUITY_SUM,WEEKDAY_APPR_PROCESS_START_THURSDAY_y,POS_SK_DPD_DEF_SUM,PREVAPP_DAYS_FIRST_DRAWING_MEAN,CREDIT_TYPE_Credit card,NAME_CONTRACT_STATUS_Active_x,BUREAU_DAYS_CREDIT_MEAN,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,BUREAU_DAYS_CREDIT_UPDATE_MAX,COMMONAREA_AVG,POS_SK_ID_PREV_MEAN,PREVAPP_AMT_APPLICATION_MAX,NAME_PORTFOLIO_Cards,NAME_CONTRACT_STATUS_Completed_x,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_MEAN,BUREAU_DAYS_CREDIT_MAX,NAME_CLIENT_TYPE_New,AMT_ANNUITY,PREVAPP_DAYS_TERMINATION_MAX,POS_CNT_INSTALMENT_FUTURE_SUM,FLOORSMAX_AVG,PREVAPP_AMT_CREDIT_SUM,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,PREVAPP_DAYS_DECISION_MEAN,NAME_CONTRACT_TYPE_Cash loans,NAME_CLIENT_TYPE_Repeater,CODE_REJECT_REASON_XAP,POS_SK_ID_PREV_MAX,BUREAU_DAYS_ENDDATE_FACT_MEAN,APARTMENTS_AVG,NAME_PRODUCT_TYPE_x-sell,BUREAU_AMT_CREDIT_SUM_MEAN,AMT_INCOME_TOTAL,BUREAU_DAYS_ENDDATE_FACT_MIN,NAME_GOODS_CATEGORY_Consumer Electronics,CNT_CHILDREN,BASEMENTAREA_AVG,DAYS_ID_PUBLISH,PREVAPP_CNT_PAYMENT_MAX,NAME_PAYMENT_TYPE_XNA,NAME_PORTFOLIO_POS,BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,BUREAU_DAYS_CREDIT_ENDDATE_MAX,DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE,PREVAPP_AMT_DOWN_PAYMENT_MAX,NAME_YIELD_GROUP_low_normal,BUREAU_SK_ID_BUREAU_MAX,LIVINGAPARTMENTS_AVG,NAME_GOODS_CATEGORY_XNA,LIVINGAREA_AVG,NAME_SELLER_INDUSTRY_Consumer electronics,BUREAU_AMT_CREDIT_SUM_MAX,NAME_PORTFOLIO_Cash,WEEKDAY_APPR_PROCESS_START_WEDNESDAY_y,NAME_GOODS_CATEGORY_Computers,CNT_FAM_MEMBERS,PREVAPP_AMT_APPLICATION_SUM,PRODUCT_COMBINATION_Cash,NONLIVINGAREA_AVG,AGE,POS_SK_DPD_MEAN,NAME_CONTRACT_STATUS_Signed_x,PREVAPP_AMT_DOWN_PAYMENT_MEAN,PRODUCT_COMBINATION_POS mobile with interest,CHANNEL_TYPE_AP+ (Cash loan),POS_MONTHS_BALANCE_SUM,POS_SK_DPD_MAX,NAME_TYPE_SUITE_Unaccompanied_y,NAME_PRODUCT_TYPE_XNA,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,POS_CNT_INSTALMENT_MEAN,PREVAPP_AMT_ANNUITY_MEAN,WEEKDAY_APPR_PROCESS_START_SATURDAY_y,NAME_GOODS_CATEGORY_Audio/Video,CODE_REJECT_REASON_LIMIT,OBS_30_CNT_SOCIAL_CIRCLE,WEEKDAY_APPR_PROCESS_START_FRIDAY,AMT_CREDIT,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,EXT_SOURCE_3,EXT_SOURCE_1,POS_CNT_INSTALMENT_MAX,CODE_REJECT_REASON_SCOFR,POS_SK_DPD_SUM,PREVAPP_DAYS_FIRST_DUE_MAX,POS_SK_DPD_DEF_MAX,HOUR_APPR_PROCESS_START,POS_CNT_INSTALMENT_SUM,PREVAPP_DAYS_DECISION_MAX,REGION_POPULATION_RELATIVE,PREVAPP_SELLERPLACE_AREA_MAX,BUREAU_SK_ID_BUREAU_MEAN,BUREAU_SK_ID_BUREAU_MIN,LANDAREA_AVG,PREVAPP_SELLERPLACE_AREA_MEAN,BUREAU_DAYS_CREDIT_ENDDATE_MEAN,PREVAPP_AMT_GOODS_PRICE_MAX,NAME_CONTRACT_TYPE_Revolving loans,DEF_30_CNT_SOCIAL_CIRCLE,PREVAPP_SK_ID_PREV_MAX,NAME_CONTRACT_STATUS_Refused_x,WEEKDAY_APPR_PROCESS_START_MONDAY_y,BUREAU_DAYS_ENDDATE_FACT_MAX,NAME_YIELD_GROUP_high,PREVAPP_AMT_GOODS_PRICE_MEAN,PREVAPP_AMT_ANNUITY_MAX,CHANNEL_TYPE_Credit and cash offices,CREDIT_TYPE_Consumer credit,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_MAX,OWN_CAR_AGE,NAME_PAYMENT_TYPE_Cash through the bank,CHANNEL_TYPE_Stone,DAYS_BIRTH,PREVAPP_AMT_CREDIT_MAX,CREDIT_ACTIVE_Closed,POS_CNT_INSTALMENT_FUTURE_MAX,POS_SK_DPD_DEF_MEAN,COMMONAREA_MODE,NAME_CONTRACT_STATUS_Approved_x,AMT_REQ_CREDIT_BUREAU_YEAR,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,PREVAPP_SK_ID_PREV_MEAN,PREVAPP_DAYS_LAST_DUE_MAX,WEEKDAY_APPR_PROCESS_START_TUESDAY_y,NAME_CONTRACT_TYPE_Consumer loans,EXT_SOURCE_2,PREVAPP_DAYS_TERMINATION_MEAN,PREVAPP_AMT_GOODS_PRICE_SUM,PREVAPP_RATE_DOWN_PAYMENT_MAX,BUREAU_DAYS_CREDIT_UPDATE_MIN,CHANNEL_TYPE_Regional / Local,CHANNEL_TYPE_Country-wide,NAME_PORTFOLIO_XNA,FLOORSMIN_AVG,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,NAME_GOODS_CATEGORY_Mobile,PREVAPP_AMT_CREDIT_MEAN,NAME_SELLER_INDUSTRY_Connectivity,ENTRANCES_AVG,PREVAPP_NFLAG_INSURED_ON_APPROVAL_MEAN,PREVAPP_DAYS_LAST_DUE_MEAN,YEARS_BUILD_AVG,DAYS_EMPLOYED,NAME_PRODUCT_TYPE_walk-in,PREVAPP_HOUR_APPR_PROCESS_START_MEAN,PREVAPP_RATE_DOWN_PAYMENT_MEAN,CREDIT_ACTIVE_Active,PREVAPP_HOUR_APPR_PROCESS_START_MAX,POS_MONTHS_BALANCE_MAX,NAME_YIELD_GROUP_XNA,NAME_TYPE_SUITE_Family_y,BUREAU_AMT_CREDIT_SUM_SUM,PREVAPP_AMT_DOWN_PAYMENT_SUM,POS_CNT_INSTALMENT_FUTURE_MEAN,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,COMMONAREA_MEDI,YEARS_BEGINEXPLUATATION_AVG,POS_MONTHS_BALANCE_MEAN
1,11916,0,-219,417454,0.6319,1,24,-2290,-1873,393739,1,264855,-2708,17,1,93623,0,65,-927,1,1,-2821,176176,-2392,0.7468,2680795,87835,0,0,-1775,-949,1,16542,-1966,8,0.4122,1525133,583103,-1032,0,1,0,1711093,-2034,0.6836,1,277189,177584,-1022,0,0.2369,0.3019,-5606,56,0,0,39307,-1366,-23589,-1580,31246,0,2589904,0.0301,0,0.2052,1,455578,1,1,1,1.913,852258,1,0.5252,47,3.4762,1,17940,0,1,-49,6,1,0,377832,8,14894,1,0,1,1,1,430604,191829,0.7384,0.2083,7,0,46,-1968,7,9,55,-2135,0.0413,474,1605895,1013885,0.312,290,-1570,68103,1,0,2304215,0,0,-2946,0,163576,12340,1,0,-1156,1,0,1,-9086,179541,0,46,4.8716,0.5639,1,2.6479,32004,2936711,-592,1,1,0.5683,-2939,987287,0.5279,-2593,1,0,0,0.6933,131533,0,164637,1,0.3061,0.4168,-2086,0.4734,-5878,1,14,0.8779,1,3,-100,0,0,1191214,134609,9,7045,0.6015,0.725,-53
0,290530,0,-2686,413873,0.2543,1,5,-2809,-1914,151882,0,113206,-2997,4,0,56365,0,63,-485,0,0,-1718,440184,-961,0.2092,2539032,404279,0,0,-1927,-2375,0,16149,-865,93,0.6565,1843089,350855,-1186,0,0,1,1206711,-2075,0.9482,0,155818,169029,-115,1,0.0052,0.6445,-5984,22,1,1,25509,-313,-17323,-2211,34878,1,1781868,0.2677,0,0.6585,0,421689,1,0,0,1.7282,1310378,0,0.9448,48,4.2308,0,46659,1,0,-3569,4,1,1,176599,8,12847,0,1,0,13,1,430222,147738,0.5825,0.1179,21,0,76,-1904,6,9,15,-2535,0.0218,335,1350566,1611448,0.8801,237,-2688,472477,0,5,1966459,0,0,-1634,0,181015,7227,0,0,-2662,1,0,0,-14433,381476,1,8,2.318,0.3838,0,3.1544,8817,1138133,-1755,1,1,0.81,-1335,1428831,0.8589,-66,0,1,1,0.4997,66397,0,197018,0,0.3943,0.5978,-413,0.1917,-3644,0,4,0.2106,1,3,-72,1,0,352441,137031,1,2915,0.785,0.5072,-10
1,183810,1,-2923,448287,0.0336,1,7,-598,-1949,273447,1,54906,-314,15,1,51962,0,4,-256,0,0,-201,471082,-1784,0.0952,2634417,112356,1,0,-2197,-278,1,15441,-703,88,0.0372,1556494,432366,-1595,0,1,1,1165001,-730,0.3289,0,232574,188238,-2458,1,2.6655,0.0871,-7234,24,1,0,85344,-69,-1280,-790,96937,1,2627389,0.2944,1,0.261,0,103520,0,1,1,4.0628,1079472,1,0.4312,33,3.039,1,5511,1,0,-2272,8,0,0,1201089,6,7861,0,0,0,15,0,471659,64641,0.665,0.0559,33,0,0,-279,2,10,4,-772,0.0257,482,1355732,1683984,0.3473,198,-608,382302,1,11,1086850,1,0,-2129,0,118574,14983,0,1,-594,17,0,0,-10312,261490,0,33,1.1047,0.4263,1,2.5537,48555,2891367,-852,0,1,0.6321,-991,1574682,0.9437,-1797,0,0,0,0.1478,117322,1,240129,0,0.4799,0.9306,-1502,0.2479,-16024,0,18,0.108,0,6,-61,0,1,1885994,102037,13,6954,0.3139,0.2179,-22
0,58470,1,-2389,393033,0.1982,1,9,-2148,-1268,184189,0,250762,-421,11,1,12221,0,72,-2807,0,0,-508,85432,-2178,0.969,1592899,237553,0,0,-837,-1010,1,16043,-1539,34,0.2475,1795973,630143,-290,0,1,1,1100482,-751,0.2301,1,249418,205932,-292,1,0.2333,0.1238,-3690,24,1,1,151979,-2729,-17294,-174,85258,1,1275806,0.2986,1,0.6171,1,219360,0,1,1,3.4261,868097,1,0.1064,45,2.5696,0,39488,0,0,-4294,9,0,1,395787,15,7506,0,1,1,11,1,423502,157088,0.4973,0.2425,7,0,66,-1576,6,12,67,-2376,0.0401,338,2688278,2962187,0.6377,423,-2355,415569,1,3,2851943,1,1,-2525,0,265029,12032,0,1,-1719,10,1,1,-13966,153377,0,30,0.4362,0.5786,0,4.1515,23982,2474186,-2241,0,0,0.5069,-489,903478,0.2408,-1916,1,0,0,0.4398,42830,0,255829,0,0.094,0.7155,-1166,0.9648,-2807,0,6,0.796,0,1,-63,0,1,194251,97190,6,1375,0.2352,0.0962,-53
0,99604,1,-1231,445940,0.9997,1,10,-1003,-2628,672660,0,129319,-2090,0,1,10171,1,45,-1284,1,0,-952,228021,-1277,0.2136,2492062,77953,1,0,-2008,-1089,0,15284,-456,50,0.0727,1628978,928205,-2777,0,0,0,1653422,-294,0.1321,0,9733,177546,-1159,1,0.4,0.4772,-3632,10,1,1,190469,-604,-17861,-2884,83666,0,2021476,0.427,1,0.201,0,491880,1,0,1,1.24,117051,0,0.2421,45,0.4406,1,25824,1,0,-1248,9,0,0,728152,3,1241,0,1,1,13,0,444296,19001,0.7441,0.0789,17,0,37,-2776,1,17,51,-474,0.046,3,2576960,2397284,0.8353,493,-909,118806,1,4,2558154,1,0,-1065,1,324926,7239,1,1,-2330,3,0,1,-14864,195922,1,41,0.5141,0.2121,1,1.1897,23426,2025781,-2885,0,1,0.6133,-1722,1078073,0.2518,-631,0,1,0,0.2845,101329,1,207793,1,0.7409,0.1766,-2830,0.6525,-4896,1,2,0.2779,1,21,-96,1,1,1223494,155344,7,5203,0.6438,0.3594,-27
1,9816,0,-1924,384447,0.766,0,11,-62,-2590,253067,1,255186,-581,7,0,10002,1,87,-1582,1,0,-1871,75118,-292,0.0192,1551226,10574,0,0,-250,-2118,1,15525,-2169,53,0.0283,1396870,596193,-1374,0,1,1,1157522,-283,0.3688,0,295067,151338,-2880,0,1.8635,0.978,-6260,44,0,1,20904,-224,-23173,-2635,43336,1,1862653,0.9028,1,0.7933,0,515063,0,0,0,4.2779,1490143,1,0.8341,57,1.8629,1,43208,0,0,-7,9,0,0,1243212,18,12470,1,0,1,2,0,432966,115620,0.7759,0.1899,48,1,72,-231,5,15,51,-2327,0.0467,70,1746950,2908853,0.8418,12,-277,575405,0,0,2953709,1,0,-484,0,291685,9937,0,1,-1989,6,0,0,-24615,70348,0,36,1.5495,0.338,0,0.8222,1337,2772141,-197,0,1,0.6064,-2726,750122,0.0854,-1585,0,0,1,0.8167,138427,0,123688,1,0.5288,0.4712,-2077,0.3705,-6535,0,7,0.0921,0,0,-12,1,0,1322456,190071,5,4277,0.2597,0.4167,-13
0,262107,1,-346,430293,0.5869,0,12,-299,-1752,385897,1,50922,-2698,8,1,55101,0,34,-2238,0,0,-1576,31031,-1077,0.7292,1562570,195633,1,1,-2164,-1513,0,15682,-232,84,0.8006,402783,615654,-2555,0,0,1,2918264,-735,0.9423,1,147824,172303,-1042,1,1.6215,0.6434,-5150,33,0,0,160487,-1361,-726,-1638,17246,0,1657583,0.6849,0,0.9366,1,235905,0,1,1,3.174,918205,0,0.2617,39,1.1762,0,34948,1,1,-2729,2,1,0,221879,14,18029,1,0,1,3,0,471049,85295,0.4859,0.1683,44,1,28,-2266,1,13,65,-277,0.0232,207,2534375,1373061,0.3793,246,-2446,48112,0,8,2380908,0,0,-556,0,256078,10721,0,0,-2760,13,1,0,-15298,138048,0,49,4.3055,0.0234,1,2.2098,9048,1038980,-1541,1,1,0.805,-523,1391353,0.1648,-2671,1,0,1,0.6176,251418,1,194320,1,0.6136,0.3318,-1922,0.1368,-9835,1,0,0.2543,0,0,-36,1,0,45322,108294,13,4137,0.5142,0.0203,-11
1,230906,0,-980,386400,0.3818,0,11,-2650,-771,264085,0,18657,-1534,6,0,95759,0,6,-1334,1,1,-1543,419112,-732,0.9187,2938706,402468,1,0,-2440,-1327,0,16727,-2041,90,0.85,1417226,485146,-1567,1,0,0,1327522,-2043,0.8388,1,216577,247621,-1961,1,1.3023,0.59,-3729,54,1,0,2682,-1219,-11580,-1610,90943,0,1425699,0.0954,0,0.4498,1,263316,1,1,0,3.921,753772,0,0.8313,32,1.6124,0,37875,1,1,-4850,1,1,1,640305,18,18607,1,1,1,2,1,474948,27659,0.5376,0.1973,35,0,5,-992,3,16,37,-812,0.0317,443,2674117,2146361,0.9625,231,-223,199428,0,9,1960254,0,1,-2546,1,40269,7040,0,0,-760,12,0,1,-20851,180049,0,18,3.3401,0.1656,0,1.3965,4468,2571620,-696,1,0,0.789,-73,695581,0.0912,-1666,0,1,1,0.1707,140475,1,230133,1,0.9074,0.8243,-582,0.6566,-19617,0,1,0.0424,1,22,-23,1,0,937235,40096,14,9788,0.7814,0.1348,-58
0,144473,1,-1660,408624,0.6025,0,11,-655,-929,129271,0,257745,-2843,11,1,23009,1,11,-2743,1,0,-279,435136,-688,0.647,2671245,28101,0,0,-2059,-2327,1,15890,-762,27,0.4988,739792,837760,-212,0,1,1,1188111,-2054,0.5174,1,215925,221731,-363,1,0.2727,0.4753,-1488,53,1,0,129606,-1879,-21046,-2971,18046,0,1013134,0.1103,0,0.8702,1,112345,0,0,1,4.8702,83401,1,0.3256,51,3.8628,0,5152,1,0,-2322,3,0,1,796627,14,12029,1,1,1,8,1,463224,85079,0.6121,0.242,19,0,48,-760,7,14,5,-250,0.0408,82,2574140,2087482,0.4673,432,-1320,1866,1,15,2223463,0,1,-2359,1,289014,12765,1,0,-326,18,0,1,-12315,402217,0,39,1.7441,0.5364,0,4.0514,45049,1911238,-404,0,0,0.5684,-2758,1499654,0.3159,-882,0,0,0,0.5661,51643,0,33178,0,0.0772,0.4561,-1149,0.6769,-27392,1,1,0.008,0,15,-45,0,0,169580,75852,18,6186,0.9829,0.6551,-4
1,20196,1,-2786,421921,0.3888,0,11,-2121,-2527,505994,0,255081,-1703,1,1,37121,0,42,-2851,1,1,-2572,226640,-1604,0.3258,1322490,235472,0,0,-15,-375,0,16620,-1225,89,0.5546,759924,851648,-478,1,0,1,1504738,-218,0.1306,0,165105,249228,-2296,1,0.5433,0.4796,-2375,15,1,1,154904,-1181,-19223,-324,88153,0,2847637,0.6271,1,0.7298,0,327872,0,1,1,4.1021,1723993,1,0.7989,35,3.5579,0,8633,1,0,-4706,4,1,1,1385274,1,11706,1,0,0,5,0,440209,156437,0.766,0.0783,32,0,28,-265,1,8,68,-1679,0.0466,130,2663554,2437873,0.9671,153,-2329,518018,1,4,2387869,1,0,-969,0,379283,10156,0,0,-2962,5,0,0,-24259,359991,0,8,1.0565,0.0482,0,3.1797,34438,2490686,-1278,1,1,0.6266,-913,1585503,0.7122,-660,0,1,0,0.1611,241960,0,18549,1,0.6401,0.4561,-604,0.2394,-21369,1,3,0.6145,1,0,-117,1,0,187310,113135,8,381,0.987,0.668,-44
